Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
4;B;non;60,75;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42005CFX; 42008CFX; 42014CFX";"3500BDFX;B; 42005BFX;E; 42014BFX;E; 42016DFX;C"
2;B;non;68,14;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42002FFX; 42012YFX";"3500BDFX;B; 42008DFX;C; 42014DFX;B; 42015DFX;C; 42016DFX;B"
1;B;non;62,88;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42007EFX; 42014DFX; 42015DFX";"3500BDFX;B; 42005CFX;D; 42006CFX;D; 42008CFX;A; 42014CFX;E"
4;B;non;74;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"3500BDFX;C; 42008DFX;A; 42014DFX;B; 42015DFX;C; 42016DFX;C"
4;B;non;67,21;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005CFX; 42006CFX; 42008CFX; 42014CFX";"3500BDFX;C; 42005BFX;D; 42014BFX;E; 601102MQ;D"
4;B;non;77,35;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"201203RE;B; 42008DFX;A; 42014DFX;B; 42015DFX;B; 42016DFX;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"3500BDFX; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601103MQ; 604C1EFX";"201103RE;C; 42005CFX;C; 42006CFX;B; 42008CFX;A; 42014CFX;C; 601102MQ;E"
4;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;oui;RT;oui;non;"3500BDFX; 42005BFX; 42014BFX; 601R13FX";aucune donnée
2;B;non;43,83;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;non;non;"340CJAFX; 3500BDFX; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601CJCFX";"201103RE;C; 42005CFX;A; 42006CFX;A; 42008CFX;A; 42014CFX;A; 601103MQ;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109C01FX; 3500BDFX; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601CJCFX; 604C1EFX";"201103RE;B; 42005CFX;C; 42006CFX;B; 42008CFX;B; 42014CFX;B; 601102MQ;D"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RP;non;non;"340CJAFX; 3500BDFX; 42006EFX; 42007EFX; 42008EFX; 42014EFX; 601103MQ; 604C0AFX";"201103RE;C; 42005CFX;C; 42006CFX;C; 42008CFX;B; 42014CFX;C; 601102MQ;E"
1;B;non;79;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;oui;CC;non;oui;"109C01FX; 340102MQ; 42004AFX; 42005AFX; 42006AFX; 601R13FX";"109B26FX;Aucun résultat; 201016RE;Aucun résultat; 340101MQ;Aucun résultat; 601R13FX;Aucun résultat"
4;A;non;75;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C1EFX";"109A12FX;B; 3500BDFX;A; 42005BFX;B; 42007BFX;B; 42014BFX;B; 42016BFX;B"
2;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"340CJAFX; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"109A01FX;B; 42005CFX;D; 42008CFX;A; 42014CFX;D; 42016BFX;C; 601103MQ;C"
2;B;non;77,59;Non;Oui;Oui;Non;En Cours;Non;Non;Oui;Oui;Non;Non;Non;non;CC;non;oui;"109C08FX; 201015RE; 42005BFX; 42007BFX; 42014BFX; 42016BFX";"109C10FX;Aucun résultat; 42004AFX;Aucun résultat; 42005AFX;Aucun résultat; 42006AFX;Aucun résultat"
5;B;non;75,4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42008DFX; 42014DFX; 42015DFX; 530CJA03; 604C2GFX";"340102MQ;D; 370CJA03;D; 42005BFX;B; 42006CFX;C; 42008CFX;B"
2;B;non;75,31;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"3500BDFX;B; 42005CFX;B; 42006CFX;A; 42008CFX;A; 42014CFX;B"
3;B;non;79,58;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"42005CFX;C; 42006CFX;C; 42008CFX;B; 42014CFX;C"
3;B;non;86,64;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;non;CC;non;non;"42006EFX; 42007EFX; 42008EFX; 42014EFX";"42005CFX;C; 42006CFX;B; 42008CFX;A; 42014CFX;C"
5;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX";"42005BFX;A; 42007BFX;A; 42014BFX;A; 42016BFX;A; 601103MQ;B; 604103MQ;A"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C2GFX";"109B28FX;C; 42005BFX;D; 42007BFX;C; 42014BFX;D; 42016BFX;C; 604102MQ;B"
1;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"3500BDFX; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601102MQ";"109B28FX;E; 340102MQ;D; 42005BFX;E; 42007BFX;D; 42014BFX;E; 42016BFX;E; 601101MQ;E; 604101MQ;E"
1;A;non;85,88;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201203RE; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C3DFX";"109B22FX;C; 340102MQ;B; 42005BFX;B; 42007BFX;A; 42014BFX;B; 42016BFX;C; 601102MQ;C; 604103MQ;B"
1;A;non;72,5;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005CFX; 42006CFX; 42008CFX; 42014CFX; 601103MQ";"109B02FX;B; 201105RE;C; 340101MQ;B; 42006AFX;C; 42007BFX;C; 42016BFX;D; 601102MQ;D"
1;B;non;67,45;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42005BFX; 42007BFX; 42014BFX; 42016BFX; 604C2GFX";"109B28FX;E; 201016RE;D; 203CKA03;E; 601R13FX;D"
1;A;non;82;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"340CJAFX; 42016BFX; 530CKA03; 601103MQ; 601CJBFX; 604C1EFX";"109A01FX;B; 42004AFX;B; 42007BFX;C; 601102MQ;C; 604101MQ;B"
1;A;non;78,23;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"201SH4RE; 42007BFX; 42014CFX; 601101MQ";"109B08FX;B; 201105RE;E; 340102MQ;C; 42005BFX;C; 42007BFX;E; 42014BFX;D; 42016BFX;D; 604102MQ;D"
1;B;non;80,96;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201103RE; 42005BFX; 42014BFX; 601CJBFX; 604C2GFX";"109B02FX;B; 201105RE;D; 340102MQ;C; 42004AFX;E; 42005AFX;C; 42006AFX;A; 601102MQ;D"
2;B;non;0;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"109C01FX; 201103RE; 340102MQ; 42005CFX; 42014CFX; 604C1EFX";"109A12FX;E; 340101MQ;D; 42005BFX;E; 42007BFX;D; 42014BFX;E; 42016BFX;E; 601102MQ;E; 604101MQ;D"
1;A;non;63,61;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"109B25FX; 42005BFX; 42007BFX; 42014BFX; 601101MQ";"42004AFX;C; 42005AFX;E; 601R13FX;C"
1;A;non;84,46;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201203RE; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C3DFX";"109B28FX;C; 340102MQ;A; 42005BFX;B; 42007BFX;B; 42014BFX;B; 42016BFX;D; 601101MQ;D; 604103MQ;C"
1;A;non;87,04;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C1EFX";"109A20FX;A; 340102MQ;A; 42005BFX;A; 42007BFX;A; 42014BFX;B; 42016BFX;B; 601102MQ;B; 604101MQ;C"
1;A;non;83,85;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C1EFX";"109A01FX;C; 42005BFX;B; 42007BFX;B; 42014BFX;B; 42016BFX;C; 601101MQ;C; 604101MQ;C"
3;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"201203RE; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C0HFX";"109B22FX;A; 340102MQ;A; 42005BFX;A; 42007BFX;B; 42014BFX;B; 42016BFX;B; 601102MQ;C; 604014FX;B"
2;B;non;0;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109C01FX; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 604C2GFX";"340102MQ;B; 42005BFX;D; 42007BFX;C; 42014BFX;D; 42016BFX;B; 601102MQ;C; 604102MQ;B"
1;A;non;82,12;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"201203RE; 3500BDFX; 42008DFX; 42014DFX; 42015DFX; 42016DFX; 601103MQ; 604C3DFX";"109B02FX;B; 340102MQ;B; 42005BFX;A; 42007BFX;B; 42014BFX;C; 42016BFX;C; 601101MQ;C; 604103MQ;A"
