Tour d'admission;Population;Sanction collégiale;GENMELS;SN4;TS_SN4;TS4_SN4+;CST5;TS_SN5;TS5;436;514;514+;526;526+;536;Renforcement en français;Étudiant international;Étudiant assujetti au R18;Services adaptés;Cours inscrits actuellement;Cours inscrits session passé
1;B;non;65,48;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"42006EFX;B; 42007EFX;B; 42008EFX;B; 42014EFX;B; 42016DFX;B"
2;B;non;79,87;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"42007EFX;B"
4;B;non;71,92;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;non;CC;oui;non;"42007EFX; 42012YFX";"42002FFX;D; 42007EFX;E; 42012YFX;E"
2;B;non;0;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;RT;non;non;"109A01FX; 340102MQ; 42004AFX; 42007BFX; 42016BFX; 601102MQ; 604CJJFX";aucune donnée
3;B;non;61,04;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;oui;"42006EFX; 42008EFX; 42014EFX; 601CJCFX";"3500BDFX;C; 42008DFX;C; 42014DFX;D; 42015DFX;C; 601103MQ;D"
1;B;non;70,85;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"203CKA03; 42007EFX; 42008EFX; 42014EFX";"332C01FX;E; 42006EFX;D; 42014DFX;A; 42015DFX;C"
1;B;non;63,26;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 42006EFX; 42007EFX; 42014DFX; 42014EFX";"109C01FX;B; 340CJBFX;D; 381CJCFX;D; 42014DFX;E; 42015DFX;D"
2;B;non;86,65;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"42002FFX; 42012YFX";"3500BDFX;A; 42006EFX;B; 42007EFX;B; 42008EFX;B; 42014EFX;A; 601CJBFX;B"
2;B;non;50,72;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;RP;oui;non;"42005BFX; 42006CFX; 42014BFX; 604C0HFX";"340CJAFX;D; 3500BDFX;C; 42005BFX;E; 42007BFX;D; 42014BFX;E"
1;B;non;66,27;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;non;CC;non;non;"20101AFX; 332C01FX; 42004AFX; 42007BFX; 42016BFX; 601102MQ";aucune donnée
